Warning: truncated output (original token count: 28163)
Total output lines: 1213

date,cash,market_value,positions,return,drawdown
2023-05-25,81146.87554098976,146375.87554098974,12,0.0030631360540733787,-0.8614889687688807
2023-05-26,81146.87554098976,147101.87554098974,12,0.0049598336974368,-0.8608019770887139
2023-05-29,52881.143114024744,147745.14311402474,16,0.004372939302570211,-0.8601932725834851
2023-05-30,52881.143114024744,148568.14311402474,16,0.005570403078257735,-0.859414492758723
2023-05-31,52881.143114024744,147685.14311402474,16,-0.0059434006610845636,-0.8602500487553997
2023-06-01,52881.143114024744,147286.14311402474,16,-0.0027016935596015923,-0.8606276102986319
2023-06-02,52881.143114024744,147317.14311402474,16,0.00021047465392576292,-0.8605982759431426
2023-06-05,48273.18299082972,146908.18299082972,17,-0.002776052498374093,-0.8609852624474883
2023-06-06,48273.18299082972,146156.18299082972,17,-0.005118843516340732,-0.8616968571354848
2023-06-07,48273.18299082972,146745.18299082972,17,0.0040299355658250935,-0.8611395043811897
2023-06-08,48273.18299082972,147627.18299082972,17,0.006010418754632152,-0.8603048946540449
2023-06-09,48273.18299082972,147441.18299082972,17,-0.001259930564492029,-0.8604809007869801
2023-06-12,40257.458987934726,142405.45898793472,17,-0.03415412099079673,-0.8652460529820286
2023-06-13,40257.458987934726,141905.45898793472,17,-0.0035111013549161685,-0.8657191877479837
2023-06-14,40257.458987934726,142781.45898793472,17,0.006173124037986977,-0.8648902556380305
2023-06-15,40257.458987934726,141996.45898793472,17,-0.005497912723152143,-0.8656330772205799
2023-06-16,40257.458987934726,144045.45898793472,17,0.01442993729987374,-0.8636941709496959
2023-06-19,56843.19138497468,146176.1913849747,14,0.014792083082733276,-0.8616779238017229
2023-06-20,56843.19138497468,146015.1913849747,14,-0.0011014105544451258,-0.8618302731963605
2023-06-21,56843.19138497468,143903.1913849747,14,-0.014464248411191871,-0.8638287944477548
2023-06-26,56843.19138497468,142726.1913849747,14,-0.008179109779791083,-0.8649425536868132
2023-06-27,56843.19138497468,143539.1913849747,14,0.0056962215001385985,-0.8641732365573702
2023-06-28,56843.19138497468,141510.1913849747,14,-0.014135512262697603,-0.866093217437616
2023-06-29,56843.19138497468,143244.1913849747,14,0.012253534413522837,-0.8644523860692837
2023-06-30,56843.19138497468,144425.1913849747,14,0.008244662408865233,-0.8633348417520977
2023-07-03,72755.47510815469,145833.4751081547,13,0.009750956254066079,-0.8620022257725675
2023-07-04,72755.47510815469,146157.4751081547,13,0.0022217121258318873,-0.8616956344442286
2023-07-05,72755.47510815469,146019.4751081547,13,-0.0009441870824457022,-0.8618262196396321
2023-07-06,72755.47510815469,147094.4751081547,13,0.007362031668746605,-0.8608089798928287
2023-07-07,72755.47510815469,146747.4751081547,13,-0.0023590280990829493,-0.8611373354204015
2023-07-10,63722.690065764706,146198.6900657647,14,-0.0037396557725135615,-0.8616566339855832
2023-07-11,63722.690065764706,146238.6900657647,14,0.00027360026264267034,-0.8616187832043067
2023-07-12,63722.690065764706,146558.6900657647,14,0.0021882034081137647,-0.8613159769540956
2023-07-13,63722.690065764706,146637.6900657647,14,0.0005390332020882571,-0.8612412216610746
2023-07-14,63722.690065764706,145812.6900657647,14,-0.00562611153810455,-0.8620218940249005
2023-07-17,48112.60651022472,145841.60651022472,19,0.0001983122624442668,-0.8619945312745368
2023-07-18,48112.60651022472,143905.60651022472,19,-0.01327467549436434,-0.863826509088315
2023-07-19,48112.60651022472,144049.60651022472,19,0.0010006559403212822,-0.8636902462757199
2023-07-20,48112.60651022472,142663.60651022472,19,-0.009621685428912397,-0.8650017758469475
2023-07-21,48112.60651022472,140680.60651022472,19,-0.013899830857408424,-0.8668782283287254
2023-07-24,37849.442826684746,140563.44282668474,18,-0.0008328346489711036,-0.8669890967527056
2023-07-25,37849.442826684746,141682.44282668474,18,0.007960818101045986,-0.8659302211464982
2023-07-26,37849.442826684746,142156.44282668474,18,0.0033455097931918143,-0.8654816893883728
2023-07-27,37849.442826684746,141471.44282668474,18,-0.004818634923463461,-0.8661298840177312
2023-07-28,37849.442826684746,141745.44282668474,18,0.001936786637114274,-0.8658706061659878
2023-07-31,46917.96110606474,142316.96110606473,15,0.004032004613219176,-0.8653297958312808
2023-08-01,46917.96110606474,142725.96110606473,15,0.0028738668730790007,-0.8649427715927296
2023-08-02,46917.96110606474,143054.96110606473,15,0.002305116724738765,-0.864631448916731
2023-08-03,46917.96110606474,144165.96110606473,15,0.007766245863897625,-0.8635801434667788
2023-08-04,46917.96110606474,145218.96110606473,15,0.007304081989404576,-0.8625837216496773
2023-08-07,78856.53373457471,143429.5337345747,13,-0.01232227085127724,-0.8642770022508846
2023-08-08,78856.53373457471,142790.5337345747,13,-0.004455149391913271,-0.8648816684817752
2023-08-09,78856.53373457471,143634.5337345747,13,0.005910755971882953,-0.864083016996843
2023-08-10,78856.53373457471,144604.5337345747,13,0.006753250592176352,-0.86316513555089
2023-08-11,78856.53373457471,142391.5337345747,13,-0.015303807860284735,-0.8652592300250074
2023-08-14,61645.75933584968,142262.75933584967,15,-0.0009043683662055546,-0.8653810853150109
2023-08-15,61645.75933584968,142361.75933584967,15,0.0006958954013136509,-0.8652874046313518
2023-08-16,61645.75933584968,141441.75933584967,15,-0.006462409598560814,-0.8661579726007091
2023-08-17,61645.75933584968,141925.75933584967,15,0.0034219031371827136,-0.8656999781472646
2023-08-18,61645.75933584968,140322.75933584967,15,-0.011294637474559499,-0.8672168482069167
2023-08-21,30137.204486779643,140979.20448677964,18,0.004678108911462031,-0.8665956741612215
2023-08-22,30137.204486779643,139214.20448677964,18,-0.012519576957646383,-0.868265839885043
2023-08-23,30137.204486779643,140419.20448677964,18,0.008655725932869451,-0.8671255850990912
2023-08-24,30137.204486779643,136001.20448677964,18,-0.031462932838477564,-0.8713062038910705
2023-08-25,30137.204486779643,134763.20448677964,18,-0.009102860556799985,-0.8724776855715753
2023-08-28,29525.610767489663,127336.61076748966,19,-0.055108467831206265,-0.8795052449340152
2023-08-29,29525.610767489663,128868.61076748966,19,0.012031103943840327,-0.8780555600111287
2023-08-30,29525.610767489663,127318.61076748966,19,-0.012027754398598822,-0.8795222777855896
2023-08-31,29525.610767489663,125767.61076748966,19,-0.012182036786691386,-0.8809899418295822
2023-09-01,29525.610767489663,124740.61076748966,19,-0.008165854417785279,-0.8819617606388541
2023-09-04,33481.49804495963,125752.49804495963,18,0.00811193140104205,-0.8810042425384567
2023-09-05,33481.49804495963,124630.49804495963,18,-0.008922287965992148,-0.88206595695326
2023-09-06,33481.49804495963,124649.49804495963,18,0.00015245064649538342,-0.8820479778321536
2023-09-07,33481.49804495963,123544.49804495963,18,-0.008864857198233045,-0.8830936056649143
2023-09-08,33481.49804495963,122168.49804495963,18,-0.011137687406356678,-0.8843956725408229
2023-09-11,42549.448907244616,122285.44890724462,17,0.0009572914798539056,-0.884285005503112
2023-09-12,42549.448907244616,121000.44890724462,17,-0.010508200374475418,-0.8855009618516165
2023-09-13,42549.448907244616,119867.44890724462,17,-0.009363601624887585,-0.8865730852312708
2023-09-14,42549.448907244616,120285.44890724462,17,0.0034871852517981416,-0.8861775445669323
2023-09-15,42549.448907244616,119846.44890724462,17,-0.003649651757450134,-0.8865929568914409
2023-09-18,51401.52842669963,119823.52842669963,15,-0.00019124872496412149,-0.8866146458438374
2023-09-19,51401.52842669963,117694.52842669963,15,-0.017767795924173435,-0.8886292536772742
2023-09-20,51401.52842669963,116383.52842669963,15,-0.011139005504546384,-0.8898698130336085
2023-09-21,51401.52842669963,116208.52842669963,15,-0.0015036492050524153,-0.8900354102016927
2023-09-22,51401.52842669963,115905.52842669963,15,-0.002607381782578244,-0.8903221298698616
2023-09-25,53568.33504915963,115416.33504915962,13,-0.004220621606064179,-0.89078503865824
2023-09-26,53568.33504915963,115564.33504915962,13,0.0012823141536850713,-0.8906449907675172
